Russian,English
я,I
не,Not
что,What
в,V
и,And
ты,You
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,at
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
за,for
бы,would
тебе,you
они,They
чтобы,to
же,same
есть,There is
просто,Just
из,from
к,To
для,For
ну,Well
когда,When
хорошо,Fine
здесь,Here
по,By
был,was
знаю,I know
то,That
только,only
всё,All
было,was
вас,you
может,Maybe
нас,us
вот,Here
от,from
быть,be
кто,Who
будет,will
почему,Why
вам,to you
их,their
очень,Very
могу,Can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need to
сейчас,Now
где,Where
чем,how
хочу,Want
ничего,Nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,You know
п,n
до,to
этом,this
потому,That's why
теперь,Now
думаю,Think
больше,more
её,her
со,with
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,whether
ещё,more
пока,Bye
даже,even
привет,Hello
сказал,said
себя,myself
должен,must
тоже,Same
хочешь,Want
давай,Let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,Then
него,him
ни,neither
тут,here
были,were
конечно,Certainly
правда,Truth
об,about
моя,my
пожалуйста,Please
тобой,you
сказать,say
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,Means
сделать,do
всегда,Always
дело,case
можно,Can
ей,to her
должны,should
порядке,ok
без,without
день,day
том,volume
буду,will
делать,do
хотел,wanted
чего,what
эти,these
много,many
после,after
этим,this
всего,total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,mr
жизнь,life
потом,Then
ней,her
такой,such
который,which
всех,everyone
через,through
им,them
возможно,Maybe
немного,A little
такое,such
слишком,too much
себе,to myself
зачем,For what
должна,should
моей,my
люди,People
знаете,you know
этой,this
думаешь,you think
свою,my
точно,exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,because of
эту,this
можем,Can
случилось,happened
мама,Mother
мог,could
вместе,together
отец,father
сделал,did
мои,my
кажется,Seems
друг,Friend
куда,Where
никто,nobody
поэтому,That's why
эта,this
которые,which
два,two
тот,That
сколько,How many
понимаю,Understand
снова,again
жизни,life
нравится,like
людей,people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,someone
прости,I'm sorry
отлично,Great
похоже,Seems like
парень,boy
домой,home
всем,everyone
деньги,money
иди,go
времени,time
дома,Houses
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,are you doing
будем,we will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,isn't it
слушай,Listen
своей,his
лишь,only
ага,yeah
можете,you can
простите,Sorry
хотела,wanted
сам,myself
что-нибудь,anything
тем,those
будешь,you will
прошу,please
три,three
деле,in fact
хотите,want
говорить,speak
давайте,Let's
совсем,at all
знал,knew
знает,knows
какой,Which
моего,my
скажи,Tell
дом,house
дела,affairs
вами,you
свои,their
ж,and
говорит,speaks
несколько,some
должно,should
про,about
ваш,your
происходит,is happening
жаль,sorry
туда,there
действительно,really
папа,dad
завтра,Tomorrow
оно,it
черт,crap
одна,one
перед,before
наш,our
уверен,sure
отсюда,from here
нужна,needed
самом,himself
тех,those
нужен,needed
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,every
твоей,yours
будут,will
хватит,enough
понял,Understood
нее,her
уж,really
имя,Name
против,against
кое-что,something
пор,since then
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,Hope
итак,So
при,at
ваша,yours
вообще,at all
пошли,went
мать,mother
нельзя,it is forbidden
наверное,Maybe
нами,us
твои,yours
могли,could
дай,give me
ради,for the sake of
всю,all
ребята,Guys
ко,co
хотя,Although
понимаешь,understand
идти,go
этих,these
откуда,where
такая,like this
ясно,It's clear
другой,another
извините,Sorry
вижу,I see
видеть,see
над,over
могут,can
равно,equals
мисс,miss
скоро,soon
будто,as if
зовут,name is
виду,mind
наши,our
думала,I thought
послушай,listen
между,between
своего,his
вопрос,question
этому,this
почти,almost
года,year
человека,person
которая,which
подожди,Wait
руки,hands
нормально,Fine
такие,such
возьми,take it
минут,minutes
извини,sorry
вещи,things
могла,could
смотри,Look
хоть,at least
работа,Job
пару,a couple
сын,son
ваше,yours
дня,day
пора,it's time
неё,her
жить,live
видишь,you see
достаточно,enough
господи,God
быстро,fast
твою,yours
весь,all
убить,kill
ночь,night
говоришь,you say
собой,yourself
скажу,I'll tell you
готов,ready
слышал,heard
какая,which
посмотри,look
первый,first
самое,the most
видела,saw
пусть,let
месте,place
нашли,found
сказали,they said
плохо,Badly
смогу,I can
ваши,yours
отца,father
детей,children
знаем,we know
рад,glad
прав,rights
никаких,no
имею,I have
миссис,Mrs.
иногда,Sometimes
смерти,death
своих,their
пойду,I'll go
брат,Brother
вроде,like
рядом,near
мир,world
произошло,happened
которую,which
сделала,did
говорила,spoke
знала,knew
мое,my
одного,one
таким,like this
помощь,help
такого,such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,our
говорят,They say
правильно,Right
убил,killed
одно,one
пойти,go
друга,friend
сама,herself
долго,for a long time
работать,work
дверь,door
делает,does
женщина,woman
важно,important
кроме,except
будь,be
собираюсь,going to
вашей,yours
нужны,needed
здорово,Great
номер,number
проблема,problem
проблемы,problems
денег,money
чёрт,crap
хороший,good
твоего,yours
одну,one
дальше,further
вернуться,come back
давно,for a long time
последний,last
ночи,nights
узнать,to know
уверена,sure
машину,car
права,rights
пять,five
моих,my
также,Also
тому,that
вечером,In the evening
дети,children
опять,again
вообще-то,actually
серьезно,seriously
работает,works
своим,his
сначала,at first
две,two
одной,one
моим,mine
те,those
жена,wife
думаете,think
помнишь,remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,Part
придется,will have to
стать,become
идея,idea
дорогая,Expensive
прекрасно,Wonderful
слова,words
сделали,done